v8-version,4,9,385,35,0
code-creation,Stub,2,0x1af65b06000,386,"CEntryStub"
code-creation,Stub,2,0x1af65b061a0,561,"CEntryStub"
code-creation,Stub,2,0x1af65b063e0,170,"StoreBufferOverflowStub"
code-creation,Stub,2,0x1af65b064a0,390,"StoreBufferOverflowStub"
code-creation,Stub,2,0x1af65b06640,116,"StubFailureTrampolineStub"
code-creation,Stub,2,0x1af65b066c0,117,"StubFailureTrampolineStub"
code-creation,Stub,2,0x1af65b06740,534,"ArrayNoArgumentConstructorStub_FAST_SMI_ELEMENTS"
code-creation,Stub,2,0x1af65b06960,498,"ArrayNoArgumentConstructorStub_FAST_SMI_ELEMENTS_DISABLE_ALLOCATION_SITES"
code-creation,Stub,2,0x1af65b06b60,546,"ArrayNoArgumentConstructorStub_FAST_HOLEY_SMI_ELEMENTS"
code-creation,Stub,2,0x1af65b06da0,510,"ArrayNoArgumentConstructorStub_FAST_HOLEY_SMI_ELEMENTS_DISABLE_ALLOCATION_SITES"
code-creation,Stub,2,0x1af65b06fa0,486,"ArrayNoArgumentConstructorStub_FAST_DOUBLE_ELEMENTS"
code-creation,Stub,2,0x1af65b071a0,486,"ArrayNoArgumentConstructorStub_FAST_HOLEY_DOUBLE_ELEMENTS"
code-creation,Stub,2,0x1af65b073a0,510,"ArrayNoArgumentConstructorStub_FAST_ELEMENTS"
code-creation,Stub,2,0x1af65b075a0,510,"ArrayNoArgumentConstructorStub_FAST_HOLEY_ELEMENTS"
code-creation,Stub,2,0x1af65b077a0,2351,"RecordWriteStub"
code-creation,Stub,2,0x1af65b080e0,756,"ArraySingleArgumentConstructorStub_FAST_SMI_ELEMENTS"
code-creation,Stub,2,0x1af65b083e0,558,"ArraySingleArgumentConstructorStub_FAST_SMI_ELEMENTS_DISABLE_ALLOCATION_SITES"
code-creation,Stub,2,0x1af65b08620,768,"ArraySingleArgumentConstructorStub_FAST_HOLEY_SMI_ELEMENTS"
code-creation,Stub,2,0x1af65b08920,570,"ArraySingleArgumentConstructorStub_FAST_HOLEY_SMI_ELEMENTS_DISABLE_ALLOCATION_SITES"
code-creation,Stub,2,0x1af65b08b60,578,"ArraySingleArgumentConstructorStub_FAST_DOUBLE_ELEMENTS"
code-creation,Stub,2,0x1af65b08dc0,578,"ArraySingleArgumentConstructorStub_FAST_HOLEY_DOUBLE_ELEMENTS"
code-creation,Stub,2,0x1af65b09020,570,"ArraySingleArgumentConstructorStub_FAST_ELEMENTS"
code-creation,Stub,2,0x1af65b09260,570,"ArraySingleArgumentConstructorStub_FAST_HOLEY_ELEMENTS"
code-creation,Stub,2,0x1af65b094a0,2358,"RecordWriteStub"
code-creation,Stub,2,0x1af65b09de0,724,"ArrayNArgumentsConstructorStub_FAST_SMI_ELEMENTS"
code-creation,Stub,2,0x1af65b0a0c0,526,"ArrayNArgumentsConstructorStub_FAST_SMI_ELEMENTS_DISABLE_ALLOCATION_SITES"
code-creation,Stub,2,0x1af65b0a2e0,736,"ArrayNArgumentsConstructorStub_FAST_HOLEY_SMI_ELEMENTS"
code-creation,Stub,2,0x1af65b0a5c0,538,"ArrayNArgumentsConstructorStub_FAST_HOLEY_SMI_ELEMENTS_DISABLE_ALLOCATION_SITES"
code-creation,Stub,2,0x1af65b0a7e0,550,"ArrayNArgumentsConstructorStub_FAST_DOUBLE_ELEMENTS"
code-creation,Stub,2,0x1af65b0aa20,550,"ArrayNArgumentsConstructorStub_FAST_HOLEY_DOUBLE_ELEMENTS"
code-creation,Stub,2,0x1af65b0ac60,486,"ArrayNArgumentsConstructorStub_FAST_ELEMENTS"
